ZipCode,median_household_income_last_12,Year
94954,77022,2013
94956,76204,2013
94957,127417,2013
94960,104802,2013
94963,103807,2013
94964,79183,2013
94965,92781,2013
94970,79402,2013
94971,101111,2013
94972,125511,2013
94973,87604,2013
95002,83203,2013
95003,78492,2013
95004,84038,2013
95005,87750,2013
95006,83513,2013
95007,103368,2013
95008,81717,2013
95010,49511,2013
95012,50858,2013
95013,,2013
95014,122600,2013
95017,76250,2013
95018,71555,2013
95019,37107,2013
95020,78428,2013
95023,65278,2013
95030,145833,2013
95032,118713,2013
95033,121563,2013
95035,94608,2013
95037,94510,2013
95039,54457,2013
95041,52045,2013
95043,60500,2013
95045,63750,2013
95046,71928,2013
95050,62921,2013
95051,96065,2013
95053,,2013
95054,115344,2013
95060,64330,2013
95062,60632,2013
95064,50170,2013
95065,79949,2013
95066,108750,2013
95070,153563,2013
95073,70091,2013
95075,77500,2013
95076,54586,2013
95110,65212,2013
95111,61411,2013
95112,48364,2013
95113,46313,2013
95116,48283,2013
95117,64009,2013
95118,84077,2013
95119,113584,2013
95120,145429,2013
95121,82745,2013
95122,55476,2013
95123,83949,2013
95124,104794,2013
95125,89394,2013
95126,67760,2013
95127,66526,2013
95128,61728,2013
95129,102682,2013
95130,95965,2013
95131,104694,2013
95132,91625,2013
95133,73431,2013
95134,101539,2013
95135,111797,2013
95136,85864,2013
95138,139779,2013
95139,90476,2013
95140,58750,2013
95148,106299,2013
95202,14452,2013
95203,38600,2013
95204,45935,2013
95205,31747,2013
95206,46465,2013
95207,39973,2013
95209,73622,2013
95210,41901,2013
95211,,2013
95212,61940,2013
95215,44830,2013
95219,75088,2013
95220,52386,2013
95222,50401,2013
95223,53023,2013
95224,24265,2013
95225,60938,2013
95226,,2013
95227,104583,2013
95228,63289,2013
95230,34667,2013
95231,42128,2013
95232,51838,2013
95233,11731,2013
95234,,2013
95236,69359,2013
95237,41486,2013
95240,40871,2013
95242,68042,2013
95245,60143,2013
95246,46929,2013
95247,51349,2013
95248,22386,2013
95249,37926,2013
95250,,2013
95251,75760,2013
95252,70048,2013
95254,47010,2013
95255,38909,2013
95257,41914,2013
95258,65612,2013
95301,45550,2013
95303,58250,2013
95304,73684,2013
95305,12303,2013
95306,26389,2013
95307,45749,2013
